,geo,time,cell_phones_total
465,aus,2000,8562000.0
466,aus,2001,11132000.0
467,aus,2002,12670000.0
468,aus,2003,14347000.0
469,aus,2004,16480000.0
470,aus,2005,18420000.0
471,aus,2006,19760000.0
472,aus,2007,21260000.0
473,aus,2008,22120000.0
474,aus,2009,22200000.0
475,aus,2010,22500000.0
476,aus,2011,23789000.0
477,aus,2012,24338000.0
478,aus,2013,24940000.0
479,aus,2014,25060000.0
480,aus,2015,25770000.0
481,aus,2016,26551000.0
482,aus,2017,26660000.0
483,aus,2018,27640000.0
484,aus,2019,27880000.0
485,aut,1960,0.0
486,aut,1965,0.0
487,aut,1970,0.0
488,aut,1975,0.0
489,aut,1976,0.0
490,aut,1977,0.0
491,aut,1978,0.0
492,aut,1979,0.0
493,aut,1980,0.0
494,aut,1981,0.0
495,aut,1982,0.0
496,aut,1983,0.0
497,aut,1984,0.0
498,aut,1985,9762.0
499,aut,1986,19104.0
500,aut,1987,26223.0
501,aut,1988,36904.0
502,aut,1989,50721.0
503,aut,1990,73698.0
504,aut,1991,115402.0
505,aut,1992,172453.0
506,aut,1993,220859.0
507,aut,1994,278199.0
508,aut,1995,383535.0
509,aut,1996,598708.0
510,aut,1997,1159700.0
511,aut,1998,2292900.0
512,aut,1999,4250393.0
513,aut,2000,6117000.0
514,aut,2001,6541000.0
515,aut,2002,6736000.0
516,aut,2003,7274000.0
517,aut,2004,7992000.0
518,aut,2005,8665000.0
519,aut,2006,9281000.0
520,aut,2007,9912000.0
521,aut,2008,10816000.0
522,aut,2009,11434000.0
523,aut,2010,12241000.0
524,aut,2011,13022578.0
525,aut,2012,13588000.0
526,aut,2013,13272000.0
527,aut,2014,12952605.0
528,aut,2015,13470623.0
529,aut,2016,11079460.0
530,aut,2017,10859000.0
531,aut,2018,10984000.0
532,aut,2019,10726000.0
533,aze,1960,0.0
534,aze,1965,0.0
535,aze,1970,0.0
536,aze,1975,0.0
537,aze,1976,0.0
538,aze,1977,0.0
539,aze,1978,0.0
540,aze,1979,0.0
541,aze,1980,0.0
542,aze,1981,0.0
543,aze,1982,0.0
544,aze,1983,0.0
545,aze,1984,0.0
546,aze,1985,0.0
547,aze,1986,0.0
548,aze,1987,0.0
549,aze,1988,0.0
550,aze,1989,0.0
551,aze,1990,0.0
552,aze,1991,0.0
553,aze,1992,0.0
554,aze,1993,0.0
555,aze,1994,500.0
556,aze,1995,6000.0
557,aze,1996,17000.0
558,aze,1997,40000.0
559,aze,1998,65000.0
560,aze,1999,370000.0
561,aze,2000,420400.0
562,aze,2001,730000.0
563,aze,2002,794200.0
564,aze,2003,1057100.0
565,aze,2004,1456523.0
566,aze,2005,2242000.0
567,aze,2006,3323500.0
568,aze,2007,4519000.0
569,aze,2008,6548000.0
570,aze,2009,7757120.0
571,aze,2010,9100113.0
572,aze,2011,10120105.0
573,aze,2012,10125200.0
574,aze,2013,10130102.0
575,aze,2014,10552520.0
576,aze,2015,10697132.0
577,aze,2016,10189000.0
578,aze,2017,10127000.0
579,aze,2018,10339700.0
580,aze,2019,10750300.0
581,bdi,1960,0.0
582,bdi,1965,0.0
583,bdi,1970,0.0
584,bdi,1975,0.0
585,bdi,1976,0.0
586,bdi,1977,0.0
587,bdi,1978,0.0
588,bdi,1979,0.0
589,bdi,1980,0.0
590,bdi,1981,0.0
591,bdi,1982,0.0
592,bdi,1983,0.0
593,bdi,1984,0.0
594,bdi,1985,0.0
595,bdi,1986,0.0
596,bdi,1987,0.0
597,bdi,1988,0.0
598,bdi,1989,0.0
599,bdi,1990,0.0
600,bdi,1991,0.0
601,bdi,1992,0.0
602,bdi,1993,353.0
603,bdi,1994,378.0
604,bdi,1995,564.0
605,bdi,1996,561.0
606,bdi,1997,619.0
607,bdi,1998,620.0
608,bdi,1999,800.0
609,bdi,2000,16320.0
610,bdi,2001,33416.0
611,bdi,2002,52000.0
612,bdi,2003,64000.0
613,bdi,2004,100560.0
614,bdi,2005,153000.0
615,bdi,2006,200000.0
616,bdi,2007,270000.0
617,bdi,2008,480584.0
618,bdi,2009,920749.0
619,bdi,2010,1678029.0
620,bdi,2011,1914586.0
621,bdi,2012,2247126.0
622,bdi,2013,2536831.0
623,bdi,2014,3193257.0
624,bdi,2015,4997696.0
625,bdi,2016,5357816.0
626,bdi,2017,5920612.0
627,bdi,2018,6317965.0
628,bdi,2019,6643411.0
629,bel,1960,0.0
