ID,gender,age,group,time
13593,F,38,F35-39,7.346388888
13594,F,33,F30-34,7.023055555
13595,F,35,F35-39,7.022777778
13596,F,38,F35-39,7.309722222
13597,F,36,F35-39,7.023055555
13598,M,49,M45-49,7.363055555
13599,F,46,F45-49,7.1
13600,F,27,F25-29,7.410277778
13601,F,50,F50-54,7.363333333
13602,M,62,M60-64,7.275555555
13603,F,31,F30-34,7.032777778
13604,M,31,M30-34,7.032777778
13605,F,35,F35-39,7.202222222
13606,F,39,F35-39,7.278611112
13607,M,42,M40-44,7.318611112
13608,F,22,F18-24,7.242222222
13609,M,39,M35-39,7.092222222
13610,M,50,M50-54,7.284722222
13611,M,42,M40-44,7.174166667
13612,F,39,F35-39,7.276944445
13613,F,42,F40-44,7.174444445
13614,F,48,F45-49,7.285
13615,M,36,M35-39,7.220555555
13616,M,19,M18-24,7.24
13617,F,30,F30-34,7.176944445
13618,F,29,F25-29,7.279444445
13619,F,28,F25-29,7.095
13620,F,43,F40-44,7.124722222
13621,M,47,M45-49,7.3175
13622,F,43,F40-44,7.125
13623,F,57,F55-59,7.3175
13624,F,30,F30-34,7.255555555
13625,M,31,M30-34,7.255833333
13626,M,36,M35-39,7.278333333
13627,F,36,F35-39,7.278333333
13628,F,36,F35-39,7.278333333
13629,F,62,F60-64,6.9725
13630,F,40,F40-44,6.972222222
13631,F,69,F65+,7.246111112
13632,F,26,F25-29,7.364444445
13633,F,39,F35-39,7.255
13634,M,37,M35-39,7.280833333
13635,F,48,F45-49,7.280833333
13636,M,54,M50-54,7.280833333
13637,F,46,F45-49,7.289166667
13638,M,47,M45-49,7.289166667
13639,M,53,M50-54,7.289166667
13640,M,23,M18-24,7.248611112
13641,F,40,F40-44,7.28
13642,F,49,F45-49,7.293333333
13643,F,34,F30-34,7.100277778
13644,F,34,F30-34,7.1
13645,F,31,F30-34,7.246944445
13646,F,29,F25-29,7.218611112
13647,F,28,F25-29,7.246388888
13648,M,51,M50-54,7.005833333
13649,M,32,M30-34,7.286666667
13650,F,44,F40-44,7.005833333
13651,M,40,M40-44,7.189166667
13652,F,53,F50-54,7.183333333
13653,F,29,F25-29,7.286666667
13654,F,50,F50-54,7.257777778
13655,M,50,M50-54,7.005833333
13656,F,41,F40-44,7.257777778
13657,F,45,F45-49,7.005833333
13658,F,28,F25-29,7.251944445
13659,F,42,F40-44,7.176666667
13660,F,35,F35-39,7.255
13661,M,49,M45-49,7.213611112
13662,F,46,F45-49,7.005833333
13663,M,58,M55-59,7.183055555
13664,F,46,F45-49,7.248888888
13665,M,35,M35-39,7.323611112
13666,F,59,F55-59,7.286666667
13667,M,52,M50-54,7.321666667
13668,M,45,M45-49,7.262777778
13669,F,74,F65+,7.256111112
13670,F,41,F40-44,7.263333333
13671,F,61,F60-64,7.335
13672,F,42,F40-44,7.183888888
13673,F,37,F35-39,7.183333333
13674,M,55,M55-59,7.179166667
13675,F,27,F25-29,7.179166667
13676,F,38,F35-39,7.135555555
13677,F,39,F35-39,7.135555555
13678,F,39,F35-39,7.264722222
13679,M,23,M18-24,7.225555555
13680,F,22,F18-24,7.017222222
13681,F,28,F25-29,7.226111112
13682,F,38,F35-39,7.262777778
13683,F,37,F35-39,7.3025
13684,M,50,M50-54,7.263055555
13685,F,45,F45-49,7.256944445
13686,M,31,M30-34,7.256944445
13687,F,44,F40-44,7.257222222
13688,F,26,F25-29,7.253888888
13689,F,43,F40-44,7.293888888
13690,M,68,M65+,7.257222222
13691,M,38,M35-39,7.260277778
13692,M,36,M35-39,7.328888888
13693,F,46,F45-49,7.268333333
13694,M,44,M40-44,7.191666667
13695,F,34,F30-34,7.328888888
13696,M,34,M30-34,7.328888888
13697,F,34,F30-34,7.306666667
13698,F,42,F40-44,7.220555555
13699,M,62,M60-64,7.186666667
13700,F,47,F45-49,7.191666667
13701,F,45,F45-49,7.233055555
13702,F,45,F45-49,7.263055555
13703,F,33,F30-34,7.185
13704,M,54,M50-54,7.188333333
13705,M,55,M55-59,7.233888888
13706,F,54,F50-54,7.299444445
13707,F,42,F40-44,7.259722222
13708,F,44,F40-44,7.299722222
